,Pais_comprador,Industria,Año,Mes,Monto,t-1,t-2,t-3,t-4,t-5,t-6,t-9,t-10,t-11
121,Europa,Industrias Manufactureras,2016.0,9,954222248.0,246231013.0,262138360.0,228164746.0,208791354.0,247743820.0,224578301.0,248857995.0,238641866.0,267988059.0
122,Europa,Industrias Manufactureras,2016.0,10,1166798458.0,954222248.0,246231013.0,262138360.0,228164746.0,208791354.0,247743820.0,335176538.0,248857995.0,238641866.0
123,Europa,Industrias Manufactureras,2016.0,11,1057216797.0,1166798458.0,954222248.0,246231013.0,262138360.0,228164746.0,208791354.0,230825018.0,335176538.0,248857995.0
124,Europa,Industrias Manufactureras,2016.0,12,671422653.0,1057216797.0,1166798458.0,954222248.0,246231013.0,262138360.0,228164746.0,224578301.0,230825018.0,335176538.0
125,Europa,Industrias Manufactureras,2017.0,1,1011850120.0,671422653.0,1057216797.0,1166798458.0,954222248.0,246231013.0,262138360.0,247743820.0,224578301.0,230825018.0
126,Europa,Industrias Manufactureras,2017.0,2,889310648.0,1011850120.0,671422653.0,1057216797.0,1166798458.0,954222248.0,246231013.0,208791354.0,247743820.0,224578301.0
127,Europa,Industrias Manufactureras,2017.0,3,772404054.0,889310648.0,1011850120.0,671422653.0,1057216797.0,1166798458.0,954222248.0,228164746.0,208791354.0,247743820.0
128,Europa,Industrias Manufactureras,2017.0,4,939412729.0,772404054.0,889310648.0,1011850120.0,671422653.0,1057216797.0,1166798458.0,262138360.0,228164746.0,208791354.0
129,Europa,Industrias Manufactureras,2017.0,5,1084763138.0,939412729.0,772404054.0,889310648.0,1011850120.0,671422653.0,1057216797.0,246231013.0,262138360.0,228164746.0
130,Europa,Industrias Manufactureras,2017.0,6,1008506956.0,1084763138.0,939412729.0,772404054.0,889310648.0,1011850120.0,671422653.0,954222248.0,246231013.0,262138360.0
131,Europa,Industrias Manufactureras,2017.0,7,888900616.0,1008506956.0,1084763138.0,939412729.0,772404054.0,889310648.0,1011850120.0,1166798458.0,954222248.0,246231013.0
132,Europa,Industrias Extractivas,2016.0,8,189082.0,283052.0,446838.0,338071.0,544761.0,487598.0,302405.0,260042.0,292486.0,332020.0
133,Europa,Industrias Extractivas,2016.0,9,564822.0,189082.0,283052.0,446838.0,338071.0,544761.0,487598.0,356626.0,260042.0,292486.0
134,Europa,Industrias Extractivas,2016.0,10,294501.0,564822.0,189082.0,283052.0,446838.0,338071.0,544761.0,370943.0,356626.0,260042.0
135,Europa,Industrias Extractivas,2016.0,11,335678.0,294501.0,564822.0,189082.0,283052.0,446838.0,338071.0,302405.0,370943.0,356626.0
136,Europa,Industrias Extractivas,2016.0,12,567335.0,335678.0,294501.0,564822.0,189082.0,283052.0,446838.0,487598.0,302405.0,370943.0
137,Europa,Industrias Extractivas,2017.0,1,361017.0,567335.0,335678.0,294501.0,564822.0,189082.0,283052.0,544761.0,487598.0,302405.0
138,Europa,Industrias Extractivas,2017.0,2,351971.0,361017.0,567335.0,335678.0,294501.0,564822.0,189082.0,338071.0,544761.0,487598.0
139,Europa,Industrias Extractivas,2017.0,3,493521.0,351971.0,361017.0,567335.0,335678.0,294501.0,564822.0,446838.0,338071.0,544761.0
140,Europa,Industrias Extractivas,2017.0,4,348450.0,493521.0,351971.0,361017.0,567335.0,335678.0,294501.0,283052.0,446838.0,338071.0
141,Europa,Industrias Extractivas,2017.0,5,450989.0,348450.0,493521.0,351971.0,361017.0,567335.0,335678.0,189082.0,283052.0,446838.0
142,Europa,Industrias Extractivas,2017.0,6,445272.0,450989.0,348450.0,493521.0,351971.0,361017.0,567335.0,564822.0,189082.0,283052.0
143,Europa,Industrias Extractivas,2017.0,7,485057.0,445272.0,450989.0,348450.0,493521.0,351971.0,361017.0,294501.0,564822.0,189082.0
144,Europa,Agricultura y Silvicultura,2016.0,8,7975988.0,5680512.0,4643790.0,3889502.0,5901999.0,9805584.0,7594271.0,3501512.0,4736830.0,4152975.0
145,Europa,Agricultura y Silvicultura,2016.0,9,7293602.0,7975988.0,5680512.0,4643790.0,3889502.0,5901999.0,9805584.0,2031108.0,3501512.0,4736830.0
146,Europa,Agricultura y Silvicultura,2016.0,10,9102897.0,7293602.0,7975988.0,5680512.0,4643790.0,3889502.0,5901999.0,2783012.0,2031108.0,3501512.0
147,Europa,Agricultura y Silvicultura,2016.0,11,8568979.0,9102897.0,7293602.0,7975988.0,5680512.0,4643790.0,3889502.0,7594271.0,2783012.0,2031108.0
148,Europa,Agricultura y Silvicultura,2016.0,12,6914245.0,8568979.0,9102897.0,7293602.0,7975988.0,5680512.0,4643790.0,9805584.0,7594271.0,2783012.0
149,Europa,Agricultura y Silvicultura,2017.0,1,7157155.0,6914245.0,8568979.0,9102897.0,7293602.0,7975988.0,5680512.0,5901999.0,9805584.0,7594271.0
150,Europa,Agricultura y Silvicultura,2017.0,2,6544623.0,7157155.0,6914245.0,8568979.0,9102897.0,7293602.0,7975988.0,3889502.0,5901999.0,9805584.0
151,Europa,Agricultura y Silvicultura,2017.0,3,6636428.0,6544623.0,7157155.0,6914245.0,8568979.0,9102897.0,7293602.0,4643790.0,3889502.0,5901999.0
152,Europa,Agricultura y Silvicultura,2017.0,4,6340015.0,6636428.0,6544623.0,7157155.0,6914245.0,8568979.0,9102897.0,5680512.0,4643790.0,3889502.0
153,Europa,Agricultura y Silvicultura,2017.0,5,4508206.0,6340015.0,6636428.0,6544623.0,7157155.0,6914245.0,8568979.0,7975988.0,5680512.0,4643790.0
154,Europa,Agricultura y Silvicultura,2017.0,6,7034842.0,4508206.0,6340015.0,6636428.0,6544623.0,7157155.0,6914245.0,7293602.0,7975988.0,5680512.0
155,Europa,Agricultura y Silvicultura,2017.0,7,11332816.0,7034842.0,4508206.0,6340015.0,6636428.0,6544623.0,7157155.0,9102897.0,7293602.0,7975988.0
156,Europa,Servicios y Productos no Clasificados,2016.0,8,7718778.0,9052195.0,8289122.0,7094068.0,6343992.0,8171037.0,9871541.0,5092836.0,4837271.0,6628231.0
157,Europa,Servicios y Productos no Clasificados,2016.0,9,11232575.0,7718778.0,9052195.0,8289122.0,7094068.0,6343992.0,8171037.0,6519026.0,5092836.0,4837271.0
158,Europa,Servicios y Productos no Clasificados,2016.0,10,7081126.0,11232575.0,7718778.0,9052195.0,8289122.0,7094068.0,6343992.0,8672577.0,6519026.0,5092836.0
159,Europa,Servicios y Productos no Clasificados,2016.0,11,7589944.0,7081126.0,11232575.0,7718778.0,9052195.0,8289122.0,7094068.0,9871541.0,8672577.0,6519026.0
160,Europa,Servicios y Productos no Clasificados,2016.0,12,6667544.0,7589944.0,7081126.0,11232575.0,7718778.0,9052195.0,8289122.0,8171037.0,9871541.0,8672577.0
161,Europa,Servicios y Productos no Clasificados,2017.0,1,7282377.0,6667544.0,7589944.0,7081126.0,11232575.0,7718778.0,9052195.0,6343992.0,8171037.0,9871541.0
162,Europa,Servicios y Productos no Clasificados,2017.0,2,6155599.0,7282377.0,6667544.0,7589944.0,7081126.0,11232575.0,7718778.0,7094068.0,6343992.0,8171037.0
163,Europa,Servicios y Productos no Clasificados,2017.0,3,6963538.0,6155599.0,7282377.0,6667544.0,7589944.0,7081126.0,11232575.0,8289122.0,7094068.0,6343992.0
164,Europa,Servicios y Productos no Clasificados,2017.0,4,5981368.0,6963538.0,6155599.0,7282377.0,6667544.0,7589944.0,7081126.0,9052195.0,8289122.0,7094068.0
165,Europa,Servicios y Productos no Clasificados,2017.0,5,6217323.0,5981368.0,6963538.0,6155599.0,7282377.0,6667544.0,7589944.0,7718778.0,9052195.0,8289122.0
