,Pais_comprador,Industria,Año,Mes,Monto,t-1,t-2,t-3,t-6
80,33531501.132222224,295442415.28809524,2006.0,9,80882603.0,83395018.0,73507932.0,88001064.0,95966953.0
81,33531501.132222224,295442415.28809524,2006.0,10,92516041.0,80882603.0,83395018.0,73507932.0,77188389.0
82,33531501.132222224,295442415.28809524,2006.0,11,92903427.0,92516041.0,80882603.0,83395018.0,91317411.0
83,33531501.132222224,295442415.28809524,2006.0,12,78713338.0,92903427.0,92516041.0,80882603.0,88001064.0
84,33531501.132222224,295442415.28809524,2007.0,1,115018796.0,78713338.0,92903427.0,92516041.0,73507932.0
85,33531501.132222224,295442415.28809524,2007.0,2,117749088.0,115018796.0,78713338.0,92903427.0,83395018.0
86,33531501.132222224,295442415.28809524,2007.0,3,143263062.0,117749088.0,115018796.0,78713338.0,80882603.0
87,33531501.132222224,295442415.28809524,2007.0,4,133539402.0,143263062.0,117749088.0,115018796.0,92516041.0
88,33531501.132222224,295442415.28809524,2007.0,5,148377338.0,133539402.0,143263062.0,117749088.0,92903427.0
89,33531501.132222224,295442415.28809524,2007.0,6,162471084.0,148377338.0,133539402.0,143263062.0,78713338.0
90,33531501.132222224,295442415.28809524,2007.0,7,154455917.0,162471084.0,148377338.0,133539402.0,115018796.0
91,33531501.132222224,295442415.28809524,2007.0,8,181839168.0,154455917.0,162471084.0,148377338.0,117749088.0
92,33531501.132222224,295442415.28809524,2007.0,9,133652139.0,181839168.0,154455917.0,162471084.0,143263062.0
93,33531501.132222224,295442415.28809524,2007.0,10,166274689.0,133652139.0,181839168.0,154455917.0,133539402.0
94,33531501.132222224,295442415.28809524,2007.0,11,160736936.0,166274689.0,133652139.0,181839168.0,148377338.0
95,33531501.132222224,295442415.28809524,2007.0,12,137059660.0,160736936.0,166274689.0,133652139.0,162471084.0
96,33531501.132222224,295442415.28809524,2008.0,1,167464230.0,137059660.0,160736936.0,166274689.0,154455917.0
97,33531501.132222224,295442415.28809524,2008.0,2,207695896.0,167464230.0,137059660.0,160736936.0,181839168.0
98,33531501.132222224,295442415.28809524,2008.0,3,207870594.0,207695896.0,167464230.0,137059660.0,133652139.0
99,33531501.132222224,295442415.28809524,2008.0,4,217538566.0,207870594.0,207695896.0,167464230.0,166274689.0
100,33531501.132222224,295442415.28809524,2008.0,5,191462756.0,217538566.0,207870594.0,207695896.0,160736936.0
101,33531501.132222224,295442415.28809524,2008.0,6,202833430.0,191462756.0,217538566.0,207870594.0,137059660.0
102,33531501.132222224,295442415.28809524,2008.0,7,231499301.0,202833430.0,191462756.0,217538566.0,167464230.0
103,33531501.132222224,295442415.28809524,2008.0,8,232780395.0,231499301.0,202833430.0,191462756.0,207695896.0
104,33531501.132222224,295442415.28809524,2008.0,9,245647861.0,232780395.0,231499301.0,202833430.0,207870594.0
105,33531501.132222224,295442415.28809524,2008.0,10,172011366.0,245647861.0,232780395.0,231499301.0,217538566.0
106,33531501.132222224,295442415.28809524,2008.0,11,131928745.0,172011366.0,245647861.0,232780395.0,191462756.0
107,33531501.132222224,295442415.28809524,2008.0,12,184960263.0,131928745.0,172011366.0,245647861.0,202833430.0
108,33531501.132222224,295442415.28809524,2009.0,1,124822593.0,184960263.0,131928745.0,172011366.0,231499301.0
109,33531501.132222224,295442415.28809524,2009.0,2,124418175.0,124822593.0,184960263.0,131928745.0,232780395.0
110,33531501.132222224,295442415.28809524,2009.0,3,132671035.0,124418175.0,124822593.0,184960263.0,245647861.0
111,33531501.132222224,295442415.28809524,2009.0,4,111088736.0,132671035.0,124418175.0,124822593.0,172011366.0
112,33531501.132222224,295442415.28809524,2009.0,5,99744032.0,111088736.0,132671035.0,124418175.0,131928745.0
113,33531501.132222224,295442415.28809524,2009.0,6,125857880.0,99744032.0,111088736.0,132671035.0,184960263.0
114,33531501.132222224,295442415.28809524,2009.0,7,139258221.0,125857880.0,99744032.0,111088736.0,124822593.0
115,33531501.132222224,295442415.28809524,2009.0,8,146090593.0,139258221.0,125857880.0,99744032.0,124418175.0
116,33531501.132222224,295442415.28809524,2009.0,9,174830177.0,146090593.0,139258221.0,125857880.0,132671035.0
117,33531501.132222224,295442415.28809524,2009.0,10,145582212.0,174830177.0,146090593.0,139258221.0,111088736.0
118,33531501.132222224,295442415.28809524,2009.0,11,192566444.0,145582212.0,174830177.0,146090593.0,99744032.0
119,33531501.132222224,295442415.28809524,2009.0,12,166053027.0,192566444.0,145582212.0,174830177.0,125857880.0
120,33531501.132222224,295442415.28809524,2010.0,1,170255151.0,166053027.0,192566444.0,145582212.0,139258221.0
121,33531501.132222224,295442415.28809524,2010.0,2,174695474.0,170255151.0,166053027.0,192566444.0,146090593.0
122,33531501.132222224,295442415.28809524,2010.0,3,225043181.0,174695474.0,170255151.0,166053027.0,174830177.0
123,33531501.132222224,295442415.28809524,2010.0,4,241169618.0,225043181.0,174695474.0,170255151.0,145582212.0
124,33531501.132222224,295442415.28809524,2010.0,5,223357095.0,241169618.0,225043181.0,174695474.0,192566444.0
125,33531501.132222224,295442415.28809524,2010.0,6,271196663.0,223357095.0,241169618.0,225043181.0,166053027.0
126,33531501.132222224,295442415.28809524,2010.0,7,234424812.0,271196663.0,223357095.0,241169618.0,170255151.0
127,33531501.132222224,295442415.28809524,2010.0,8,272901846.0,234424812.0,271196663.0,223357095.0,174695474.0
128,33531501.132222224,295442415.28809524,2010.0,9,214608175.0,272901846.0,234424812.0,271196663.0,225043181.0
129,33531501.132222224,295442415.28809524,2010.0,10,202106408.0,214608175.0,272901846.0,234424812.0,241169618.0
130,33531501.132222224,295442415.28809524,2010.0,11,225568142.0,202106408.0,214608175.0,272901846.0,223357095.0
131,33531501.132222224,295442415.28809524,2010.0,12,245388127.0,225568142.0,202106408.0,214608175.0,271196663.0
132,33531501.132222224,295442415.28809524,2011.0,1,228496717.0,245388127.0,225568142.0,202106408.0,234424812.0
133,33531501.132222224,295442415.28809524,2011.0,2,225636405.0,228496717.0,245388127.0,225568142.0,272901846.0
134,33531501.132222224,295442415.28809524,2011.0,3,309213037.0,225636405.0,228496717.0,245388127.0,214608175.0
135,33531501.132222224,295442415.28809524,2011.0,4,283827608.0,309213037.0,225636405.0,228496717.0,202106408.0
136,33531501.132222224,295442415.28809524,2011.0,5,297164452.0,283827608.0,309213037.0,225636405.0,225568142.0
137,33531501.132222224,295442415.28809524,2011.0,6,338378418.0,297164452.0,283827608.0,309213037.0,245388127.0
138,33531501.132222224,295442415.28809524,2011.0,7,301791994.0,338378418.0,297164452.0,283827608.0,228496717.0
139,33531501.132222224,295442415.28809524,2011.0,8,395359448.0,301791994.0,338378418.0,297164452.0,225636405.0
