,Pais_comprador,Industria,Año,Mes,Monto
323,América Latina,Industrias Extractivas,2009,Mayo,175434.0
324,América Latina,Industrias Extractivas,2009,Junio,780301.0
325,América Latina,Industrias Extractivas,2009,Julio,24214.0
326,América Latina,Industrias Extractivas,2009,Agosto,52326.0
327,América Latina,Industrias Extractivas,2009,Septiembre,896527.0
328,América Latina,Industrias Extractivas,2009,Octubre,1130308.0
329,América Latina,Industrias Extractivas,2009,Noviembre,1010570.0
330,América Latina,Industrias Extractivas,2009,Diciembre,2172079.0
331,América Latina,Industrias Extractivas,2010,Enero,871999.0
332,América Latina,Industrias Extractivas,2010,Febrero,909831.0
333,América Latina,Industrias Extractivas,2010,Marzo,801394.0
334,América Latina,Industrias Extractivas,2010,Abril,805484.0
335,América Latina,Industrias Extractivas,2010,Mayo,1418711.0
336,América Latina,Industrias Extractivas,2010,Junio,1046521.0
337,América Latina,Industrias Extractivas,2010,Julio,986426.0
338,América Latina,Industrias Extractivas,2010,Agosto,1097109.0
339,América Latina,Industrias Extractivas,2010,Septiembre,1279465.0
340,América Latina,Industrias Extractivas,2010,Octubre,933281.0
341,América Latina,Industrias Extractivas,2010,Noviembre,1308140.0
342,América Latina,Industrias Extractivas,2010,Diciembre,751662.0
343,América Latina,Industrias Extractivas,2011,Enero,1427881.0
344,América Latina,Industrias Extractivas,2011,Febrero,1136956.0
345,América Latina,Industrias Extractivas,2011,Marzo,1439599.0
346,América Latina,Industrias Extractivas,2011,Abril,821863.0
347,América Latina,Industrias Extractivas,2011,Mayo,723172.0
348,América Latina,Industrias Extractivas,2011,Junio,735502.0
349,América Latina,Industrias Extractivas,2011,Julio,620103.0
350,América Latina,Industrias Extractivas,2011,Agosto,849729.0
351,América Latina,Industrias Extractivas,2011,Septiembre,846205.0
352,América Latina,Industrias Extractivas,2011,Octubre,902978.0
353,América Latina,Industrias Extractivas,2011,Noviembre,972282.0
354,América Latina,Industrias Extractivas,2011,Diciembre,681449.0
355,América Latina,Industrias Extractivas,2012,Enero,615653.0
356,América Latina,Industrias Extractivas,2012,Febrero,755328.0
357,América Latina,Industrias Extractivas,2012,Marzo,914804.0
358,América Latina,Industrias Extractivas,2012,Abril,927376.0
359,América Latina,Industrias Extractivas,2012,Mayo,1024484.0
360,América Latina,Industrias Extractivas,2012,Junio,907728.0
361,América Latina,Industrias Extractivas,2012,Julio,1269483.0
362,América Latina,Industrias Extractivas,2012,Agosto,2381875.0
363,América Latina,Industrias Extractivas,2012,Septiembre,1347358.0
364,América Latina,Industrias Extractivas,2012,Octubre,1312982.0
365,América Latina,Industrias Extractivas,2012,Noviembre,613986.0
366,América Latina,Industrias Extractivas,2012,Diciembre,1003329.0
367,América Latina,Industrias Extractivas,2013,Enero,992405.0
368,América Latina,Industrias Extractivas,2013,Febrero,1652910.0
369,América Latina,Industrias Extractivas,2013,Marzo,2156422.0
370,América Latina,Industrias Extractivas,2013,Abril,2078202.0
371,América Latina,Industrias Extractivas,2013,Mayo,1442115.0
372,América Latina,Industrias Extractivas,2013,Junio,1510927.0
373,América Latina,Industrias Extractivas,2013,Julio,1653838.0
374,América Latina,Industrias Extractivas,2013,Agosto,1676177.0
375,América Latina,Industrias Extractivas,2013,Septiembre,1440847.0
376,América Latina,Industrias Extractivas,2013,Octubre,1590705.0
377,América Latina,Industrias Extractivas,2013,Noviembre,1102304.0
378,América Latina,Industrias Extractivas,2013,Diciembre,2238850.0
379,América Latina,Industrias Extractivas,2014,Enero,1256914.0
380,América Latina,Industrias Extractivas,2014,Febrero,999891.0
381,América Latina,Industrias Extractivas,2014,Marzo,946699.0
382,América Latina,Industrias Extractivas,2014,Abril,581234.0
383,América Latina,Industrias Extractivas,2014,Mayo,684244.0
384,América Latina,Industrias Extractivas,2014,Junio,1240820.0
385,América Latina,Industrias Extractivas,2014,Julio,1506457.0
386,América Latina,Industrias Extractivas,2014,Agosto,1424514.0
387,América Latina,Industrias Extractivas,2014,Septiembre,1756372.0
388,América Latina,Industrias Extractivas,2014,Octubre,1623822.0
389,América Latina,Industrias Extractivas,2014,Noviembre,1125790.0
390,América Latina,Industrias Extractivas,2014,Diciembre,1246545.0
391,América Latina,Industrias Extractivas,2015,Enero,888044.0
392,América Latina,Industrias Extractivas,2015,Febrero,815676.0
393,América Latina,Industrias Extractivas,2015,Marzo,1080517.0
394,América Latina,Industrias Extractivas,2015,Abril,713329.0
395,América Latina,Industrias Extractivas,2015,Mayo,1126486.0
396,América Latina,Industrias Extractivas,2015,Junio,1593313.0
397,América Latina,Industrias Extractivas,2015,Julio,1434715.0
398,América Latina,Industrias Extractivas,2015,Agosto,1535856.0
399,América Latina,Industrias Extractivas,2015,Septiembre,1295808.0
400,América Latina,Industrias Extractivas,2015,Octubre,1136621.0
401,América Latina,Industrias Extractivas,2015,Noviembre,1159806.0
402,América Latina,Industrias Extractivas,2015,Diciembre,1070895.0
403,América Latina,Industrias Extractivas,2016,Enero,1058368.0
404,América Latina,Industrias Extractivas,2016,Febrero,1150198.0
405,América Latina,Industrias Extractivas,2016,Marzo,1220261.0
406,América Latina,Industrias Extractivas,2016,Abril,907217.0
407,América Latina,Industrias Extractivas,2016,Mayo,1049375.0
408,América Latina,Industrias Extractivas,2016,Junio,1132882.0
409,América Latina,Industrias Extractivas,2016,Julio,1259245.0
410,América Latina,Industrias Extractivas,2016,Agosto,1628330.0
411,América Latina,Industrias Extractivas,2016,Septiembre,1677727.0
412,América Latina,Industrias Extractivas,2016,Octubre,1417988.0
413,América Latina,Industrias Extractivas,2016,Noviembre,972357.0
414,América Latina,Industrias Extractivas,2016,Diciembre,939289.0
415,América Latina,Industrias Extractivas,2017,Enero,743038.0
416,América Latina,Industrias Extractivas,2017,Febrero,1174774.0
417,América Latina,Industrias Extractivas,2017,Marzo,1145274.0
418,América Latina,Industrias Extractivas,2017,Abril,924650.0
419,América Latina,Industrias Extractivas,2017,Mayo,1237762.0
420,América Latina,Industrias Extractivas,2017,Junio,1204378.0
421,América Latina,Industrias Extractivas,2017,Julio,1118482.0
422,América Latina,Agricultura y Silvicultura,2000,Enero,10272.0
423,América Latina,Agricultura y Silvicultura,2000,Febrero,0.0
424,América Latina,Agricultura y Silvicultura,2000,Marzo,13188.0
425,América Latina,Agricultura y Silvicultura,2000,Abril,8227.0
426,América Latina,Agricultura y Silvicultura,2000,Mayo,13335.0
427,América Latina,Agricultura y Silvicultura,2000,Junio,51155.0
428,América Latina,Agricultura y Silvicultura,2000,Julio,67990.0
429,América Latina,Agricultura y Silvicultura,2000,Agosto,47665.0
430,América Latina,Agricultura y Silvicultura,2000,Septiembre,30904.0
431,América Latina,Agricultura y Silvicultura,2000,Octubre,19638.0
432,América Latina,Agricultura y Silvicultura,2000,Noviembre,19578.0
433,América Latina,Agricultura y Silvicultura,2000,Diciembre,34208.0
434,América Latina,Agricultura y Silvicultura,2001,Enero,24572.0
435,América Latina,Agricultura y Silvicultura,2001,Febrero,1473.0
436,América Latina,Agricultura y Silvicultura,2001,Marzo,146136.0
437,América Latina,Agricultura y Silvicultura,2001,Abril,45003.0
438,América Latina,Agricultura y Silvicultura,2001,Mayo,5680.0
439,América Latina,Agricultura y Silvicultura,2001,Junio,95191.0
440,América Latina,Agricultura y Silvicultura,2001,Julio,612.0
